Arabizi,English
mriguel,cunning
dayekh,dizzy
mdowwakh,dizzy
mberrer,justified
mbrrer,justified
mberrar,justified
mrtabT,engaged
mrtabeT,engaged
mertabeT,engaged
mertabT,engaged
mol8im,inspiring
molhim,inspiring
mchttet,sparse
mchettat,sparse
mchattet,sparse
mchettet,sparse
3aDim,mighty
3aDym,mighty
3aDiim,mighty
boul7ya,beardy
bol7ya,beardy
boul7ia,beardy
bol7ia,beardy
zayd,extra
zaid,extra
khari9,miraculous
khaari9,miraculous
5ari9,miraculous
kahriq,miraculous
stitna2i,exceptional
istitna2i,exceptional
stitnaa2i,exceptional
istitnaa2i,exceptional
fransawi,french
fransaoui,french
sblyoni,spanish
sbelioni,spanish
sbalioni,spanish
mirikani,american
chinwi,chinese
3rbi,arab
3arbi,arab
3erbi,arab
3arabi,arab
mkhbbi,hidden
mkhebbi,hidden
mkhabbi,hidden
mti99en,sure
mtye99en,sure
mtya99an,sure
mtya99en,sure
dima,always
dayman,always
da2iman,always
daiman,always
machi,not
ghaliban,often
ghaaliban,often
9ariban,soon
9aryban,soon
qaryban,soon
qariban,soon
bkri,early
bekri,early
barki,early
bchwia,slowly
bl8adawa,carefully
imkn,perhaps
yemken,perhaps
imken,perhaps
8na,here
8naya,here
l8i8,there
lhih,there
9rib,nearby
lfo9,upstairs
lfou9,upstairs
lfog,upstairs
lfoug,upstairs
mn b3d,later
men be3d,later
mn be3d,later
daba,now
chwia,a little
bzzaf,a lot
bzaf,a lot
kolliyan,totally
flblaSa,instantly
t9riban,almost
ta9riban,almost
te9riban,almost
taqriban,almost
mrra mrra,sometimes
b3d lmrrat,sometimes
b3d lmerrat,sometimes
be3d lmerrat,sometimes
ba3d lmarrat,sometimes
naadiran,rarely
nadiran,rarely
walakin,however
walakin,but
zid 3liha,in addition
kafi,enough
kaafi,enough
ga3,never
batatan,never
dghya,quickly
deghya,quickly
dghia,quickly
daghya,quickly
bzzrba,quickly
bzzerba,quickly
bzzarba,quickly
bzerba,quickly
9bel,before
9bl,before
mnb3d,after
mn b3d,after
mn be3d,after
mnbe3d,after
mazal,still
mazal,yet
akhiran,finally
7rfyyan,literally
7arfyyan,literally
7erfian,literally
7arfian,literally
ghaliban,probably
ghaaliban,probably
yawmian,daily
yawmiyyan,daily
yawmyyan,daily
mo2khkharan,recently
mo2kharan,recently
mo255aran,recently
mjmou3in,together
mjmo3in,together
mejmou3in,together
mejmo3in,together
Sara7atan,frankly
Saraa7atan,frankly
bisalam,safely
bi salam,safely
3awttani,again
3awtani,again
3awdtani,again
3awd tani,again
lil2asaf,unfortunately
lil asaf,unfortunately
lilasaf,unfortunately
khoSoSan,especially
khoSouSan,especially
za2id,also
bzzaf,very
bzaf,very
bezzaf,very
bezaf,very
bzzaf,too
bzaf,too
bezzaf,too
bezaf,too
3adatan,usually
3aadatan,usually
bi basaTa,simply
b basaTa,simply
bibasaTa,simply
3ammatan,generally
3aammatan,generally
3amatan,generally
fl7a9i9a,actually
fl 7a9i9a,actually
fel7a9i9a,actually
fel 7a9i9a,actually
bl a7ra,rather
bl2a7ra,rather
bl a7raa,rather
abadan,ever
sabi9an,already
saabi9an,already
sabiqan,already
dirikt,directly
dirict,directly
direct,directly
idan,therefore
2idan,therefore
akhr,else
akhor,else
akher,else
bttali,thus
bittali,thus
bso8oula,easily
bso8ola,easily
bsou8oula,easily
bsohoula,easily
flkhr,eventually
flkher,eventually
flekher,eventually
fllekher,eventually
tamanan,exactly
tamaaman,exactly
9aT3an,certainly
3adatan,normally
3aadatan,normally
7alian,currently
7alyan,currently
7aalian,currently
7aliyan,currently
bzzaf,extremely
bzaf,extremely
bezaf,extremely
bezzaf,extremely
bstimrar,constantly
b stimrar,constantly
bistimrar,constantly
bi stimrar,constantly
bl9a3ida,properly
bel9a3ida,properly
khaSatan,specifically
khaaSatan,specifically
khaSSatan,specifically
lgddam,ahead
l9ddam,ahead
lgeddam,ahead
l9eddam,ahead
flblaSa,immediately
flblasa,immediately
felblasa,immediately
felblaSa,immediately
nisbyan,relatively
nisbyyan,relatively
nisbian,relatively
nisbiyan,relatively
bl3adl,fairly
bl 3adl,fairly
b l3adl,fairly
bel3adl,fairly
awwalan,primarily
awalan,primarily
blkamil,completely
belkamil,completely
bl kamil,completely
bel kamil,completely
blm39ol,seriously
blm39oul,seriously
belm39oul,seriously
belm39ol,seriously
3omoman,mostly
3omouman,mostly
Tab3an,naturally
t9riban,nearly
ta9riban,nearly
t9ryba,nearly
te9riban,nearly
a7yanan,occasionally
bchwia,carefully
bchwiyya,carefully
bchwyya,carefully
bchwya,carefully
bwoDou7,clearly
bwoDo7,clearly
asasan,essentially
asaasan,essentially
gdgd,equally
gedged,equally
gd gd,equally
gddgdd,equally
bDDarora,necessarily
bdarora,necessarily
bDarora,necessarily
bDDaroura,necessarily
chkhSyya,personally
chkhSyan,personally
chkhSian,personally
chakhSyyan,personally
bntiDam,regularly
bintiDam,regularly
b ntiDam,regularly
b7al,similarly
fl asas,basically
fl2asas,basically
fel asas,basically
fel2asas,basically
fi3lian,effectively
fi3lyyan,effectively
fi3liyyan,effectively
fi3liyan,effectively
flbdya,initially
fl bdya,initially
f lbdya,initially
felbdia,initially
3l 3omoum,mainly
3ll 3omoum,mainly
3l3omom,mainly
3ll 3omom,mainly
aSlan,originally
joj mrrat,twice
jojmrrat,twice
jouj mrrat,twice
finmma,everywhere
finemma,everywhere
bayna,obviously
bnaja7,successfully
b naja7,successfully
binaja7,successfully
bi naja7,successfully
faj2atan,suddenly
Sara7atan,truly
Saraa7atan,truly
otomatikyan,automatically
automatikian,automatically
otomatikian,automatically
b3om9,deeply
b 3om9,deeply
9aT3an,definitely
3amdan,deliberately
sabi9an,previously
saabi9an,previously
aghlab,most
aghlabia,most
bjoj,both
bjouj,both
klb,dog
kalb,dog
kelb,dog
mch,cat
moch,cat
mech,cat
7mar,donkey
hmar,donkey
himar,donkey
zarafa,giraffe
sb3,lion
sbe3,lion
sbaa,lion
sba3,lion
djaja,chicken
frouj,cock
farrouj,cock
farouj,cock
ghzala,gazelle
nmr,tiger
nmer,tiger
nmar,tiger
Db3,hyena
Dbe3,hyena
Dbaa,hyena
Dba3,hyena
7out,fish
hout,fish
houte,fish
nmla,ant
nemla,ant
fkroun,turtle
fekroun,turtle
fakroun,turtle
brbouch,snail
beboch,snail
babbouch,snail
berbouch,snail
bghl,mule
bghel,mule
bghal,mule
3awd,horse
aawd,horse
3aoud,horse
khrouf,sheep
5rouf,sheep
5rof,sheep
khrof,sheep
7awli,sheep
hawli,sheep
hewli,sheep
7ouli,sheep
n3ja,sheep
ne3ja,sheep
na3ja,sheep
m3za,goat
ma3za,goat
me3za,goat
maaza,goat
timsa7,crocodile
timsah,crocodile
fil,elephant
fyl,elephant
3jl,calf
3jel,calf
3jal,calf
aajel,calf
dib,wolf
dyb,wolf
7llouf,pig
7allouf,pig
hallouf,pig
hellouf,pig
9rd,monkey
9ard,monkey
qard,monkey
9erd,monkey
Tobba,rat
jml,camel
jmal,camel
jmel,camel
dlfin,dolphin
delfin,dolphin
dalfine,dolphin
moka,owl
mouka,owl
t3lb,fox
the3leb,fox
ta3lab,fox
te3leb,fox
bgra,cow
bagra,cow
begra,cow
dobb,bear
dob,bear
9niwna,rabbit
9nia,rabbit
qnia,rabbit
Twiyer,bird
Twyer,bird
Ter,bird
Tir,bird
ti9lit,lizard
ti9lita,lizard
tiqlit,lizard
babbagha,parrot
babbaghio,parrot
babaghyo,parrot
babbagha2,parrot
far,mouse
bTTa,duck
baTTa,duck
beTTa,duck
crevit,shrimps
bibi,turkey
n7la,bee
na7la,bee
ne7la,bee
ghrab,crow
ghorab,crow
7mama,pigeon
hmama,pigeon
bllarj,stork
bellarj,stork
belarj,stork
belarj,stork
n3ama,ostrich
naama,ostrich
gnfoud,hedgehog
ganfoud,hedgehog
khffach,bat
khoffach,bat
5ofach,bat
5offach,bat
jrana,frog
sinjab,squirrel
7nch,snake
7ench,snake
7anch,snake
hench,snake
okhToboT,octopus
9irch,shark
qirch,shark
nsr,eagle
nser,eagle
biTri9,penguin
biTriq,penguin
faracha,butterfly
rtila,spider
3grba,scorpion
aagrba,scorpion
3garba,scorpion
namousa,mosquito
namosa,mosquito
dbbana,fly
debana,fly
dbana,fly
dbban,flies
deban,flies
dban,flies
jrada,grasshopper
jrada,grasshoppers
douda,worm
doud,worms
7ayawan,animal
hayawan,animal
7achara,insect
hachara,insect
7acharat,insects
hacharat,insects
7ayawanat,animals
hayawanat,animals
3oSfor,bird
tour,bull
thour,bull
thor,bull
tor,bull
samaka,fish
daynaSour,dinosaur
daynaSor,dinosaur
bobris,lizard
boubris,lizard
bobriss,lizard
boubriss,lizard
9ondos,beaver
b8ima,cattle
bhima,cattle
wzza,goose
wezza,goose
Taws,peafowl
Taawous,peafowl
Tawous,peafowl
srdin,sardine
smTa,eel
semTa,eel
samTa,eel
fo9ma,seal
foqma,seal
srra9zzit,cockroach
srra9 zzit,cockroach
srra9 zit,cockroach
boj3ran,cockroach
bouj3ran,cockroach
gml,louses
gmel,louses
gmal,louses
mn9ar,beak
man9ar,beak
men9ar,beak
manqar,beak
jna7,wing
jnah,wing
richa,feather
rycha,feather
ghoul,beast
ghol,beast
faras nna8r,hippopotamus
faras nnahr,hippopotamus
wa7id l9arn,rhinoceros
wahid l9arn,rhinoceros
wahid lqarn,rhinoceros
7imar wa7chi,zebra
7imar w7chi,zebra
ghzala,deer
fa8d,leopard
fahd,leopard
fehd,leopard
ferrouj,cock
frroj,cock
farouj,cock
8od8od,hoopoe
hodhod,hoopoe
hamster,hamster
8amster,hamster
panda,panda
ppanda,panda
llama,llama
koala,koala
kwala,koala
kowala,koala
mousi9a,music
musiqa,music
mosi9a,music
rasm,painting
kamanja,violin
3oud,oud
chTi7,dance
chTih,dance
ghna,singing
ghona,singing
chi3r,poetry
fenn,art
fann,art
fnn,art
msr7,theater
masra7,theater
masrah,theater
mesre7,theater
tSfi9,applause
taSfi9,applause
tSwira,photo
tSwera,photo
taSwira,photo
ta9afa,culture
taqafa,culture
chita,brush
khayal,imagination
5ayal,imagination
DDo,light
Daw2,light
ibda3,creativity
ibdaa3,creativity
jamal,beauty
jamaal,beauty
raw3a,magnificence
chaa3ir,poet
cha3ir,poet
kaatib,writer
katib,writer
riwa2i,novelist
riwaa2i,novelist
mokhrij,film director
mo5rij,film director
momttil,actor
momtil,actor
mo2llif,author
mo2allif,author
mo2lif,author
8ndasa,engineering
8andasa,engineering
rasm,drawing
n7t,sculpture
na7t,sculpture
ne7t,sculpture
mt7f,museum
mot7af,museum
Tbl,drum
Tbel,drum
Tbal,drum
piano,piano
guitar,guitar
gitar,guitar
nghma,tone
neghma,tone
naghma,tone
osloub,style
oslob,style
ofo9i,horizontal
ofoqi,horizontal
3amoudi,vertical
3amodi,vertical
chm3a,candle
cham3a,candle
chem3a,candle
nsijam,harmony
insijam,harmony
tze3zi3,vibration
tza3zi3,vibration
tz3zi3,vibration
i9a3,rhythm
iy9a3,rhythm
iqa3,rhythm
t2tir,impression
ta2tir,impression
ta2thir,impression
te2tir,impression
t2Tir,supervising
ta2Tir,supervising
te2Tir,supervising
tSmim,design
taSmim,design
t3bir,expression
te3bir,expression
ta3bir,expression
taabir,expression
ti9nia,technique
tiqnia,technique
tikrar,repetition
m3awda,repetition
tamatoul,symmetry
tamatol,symmetry
tamathoul,symmetry
bou3d,dimension
bo3d,dimension
bo3d,remote
masafa,distance
massafa,distance
gnTra,bridge
ganTra,bridge
guenTra,bridge
khTT,line
khaTT,line
kheTT,line
morbba3,square
morba3,square
morbba3,square
dwwara,circle
da2ira,circle
motllat,triangle
motlat,triangle
mostaTil,rectangle
n9Ta,point
no9Ta,point
Sout,voice
Saout,voice
zwin,beautiful
zwen,beautiful
zin,beauty
khayal,fiction
5ayal,fiction
chacha,screen
chaacha,screen
koumidia,comedy
koumidya,comedy
comedia,comedy
komidia,comedy
taarikhi,historical
tarikhi,historical
tari5i,historical
taari5i,historical
Sout,sound
Sawt,sound
Saout,sound
Sot,sound
adat,instrument
adaat,instrument
m3riD,exhibition
ma3riD,exhibition
mi8rajan,festival
mihrajan,festival
makiaj,makeup
makyaj,makeup
baTal,hero
ch3bi,popular
che3bi,popular
cha3bi,popular
riwaya,novel
moslsal,series
mosellsal,series
mouselsal,series
9anat,channel
qanat,channel
9anaat,channel
ich8ar,advertisement
moghnni,singer
moghenni,singer
moghanni,singer
fr9a,band
fer9a,band
jou9,choir
jo9,choir
kasiTa,tape
9anoun,qanun
9anon,qanun
9aanon,qanun
7wayj,clothes
7wayej,clothes
7wayaj,clothes
hwayej,clothes
khatm,ring
5atm,ring
khatem,ring
9amija,shirt
qamija,shirt
srwal,pants
serwal,pants
sarwal,pants
kaskita,cap
kasketa,cap
sbbat,shoe
sebbat,shoe
t9achr,socks
t9acher,socks
tqacher,socks
chort,shorts
short,shorts
kbbot,coat
kabbot,coat
kebbot,coat
grafaTa,tie
Trbouch,hat
Tarbouch,hat
Terbouch,hat
Tarboch,hat
tjakiTa,jacket
jakiTa,jacket
jakiT,jacket
Saya,skirt
slip,underpants
chal,scarf
djin,jeans
kswa,dress
kaswa,dress
keswa,dress
kostim,suit
koustim,suit
pijama,pajamas
pyjama,pajamas
likouch,diapers
likoch,diapers
ligat,gloves
smTa,belt
samTa,belt
semTa,belt
SDfa,button
SaDfa,button
SeDfa,button
jib,pocket
jayb,pocket
Twang,earring
Twaneg,earring
Twanag,earring
7ala9ate,earring
snsla,necklace
sensla,necklace
selsla,necklace
slsla,necklace
gormiT,bracelet
gourmiT,bracelet
gourmeT,bracelet
bsTam,wallet
bzTam,wallet
besTam,wallet
bezTam,wallet
mDll,umbrella
mDall,umbrella
mDell,umbrella
mDalla,umbrella
Tagia,skullcap
Taguia,skullcap
Tagyya,skullcap
Taguyya,skullcap
touni,football shirt
toni,football shirt
jellaba,jellaba
jllaba,jellaba
blgha,blgha
belgha,blgha
cherbil,blgha
drra3ia,drraia
Drra3ia,drraia
jabador,jabador
jabadour,jabador
9fTan,qafTan
9efTan,qafTan
9afTan,qafTan
tkchiTa,takchiTa
tekchiTa,takchiTa
takchiTa,takchiTa
sl8am,cape
sel8am,cape
slham,cape
selham,cape
loun,color
lawn,color
laoun,color
lwn,color
7mr,red
7mer,red
khdr,green
5dr,green
khdar,green
khder,green
zr9,blue
zra9,blue
zre9,blue
zraq,blue
byed,white
byad,white
k7l,black
k7al,black
k7el,black
limouni,orange
gri,grey
9hwi,brown
9ahwi,brown
qahwi,brown
9ehwi,brown
bonni,brown
fanidi,pink
wardi,pink
werdi,pink
ouardi,pink
banafsaji,purple
9ou9i,purple
9o9i,purple
Sfr,yellow
Sfar,yellow
Sfer,yellow
maro,maroon
lmaro,maroon
bij,beige
beige,beige
baaj,beige
d8bi,gold
de8bi,gold
dehbi,gold
Dahbi,gold
khzzi,army green
khezzi,army green
khassi,army green
mghlou9,dark
maghlou9,dark
maghlouq,dark
meglou9,dark
mftou7,light
meftou7,light
maftouh,light
maftou7,light
flous,money
flouss,money
l3a9a,money
ll3a9a,money
ll3aqa,money
stitmar,investment
istitmar,investment
raslmal,capital
ras lmal,capital
ttaman,price
taman,price
Talab,demand
kra,rent
lkra,rent
salaf,loan
9rD,loan
9arD,loan
9erD,loan
kridi,credit
9tiSad,economy
9tissad,economy
byya3,seller
beyya3,seller
beya3,seller
bya3,seller
chrray,buyer
chray,buyer
lbi3,selling
chchra,bying
sou9,market
souq,market
souk,market
charika,company
dr8m,dirham
drhm,dirham
der8am,dirham
dirham,dirham
jma3a,group
tti7ad,union
iti7ad,union
itihad,union
ittihad,union
7tikar,monopoly
htikar,monopoly
7tiyaT,reserve
i7tiaT,reserve
ihtiaT,reserve
khdma,job
khedma,job
khadma,job
5adma,job
3omla,currency
3oumla,currency
rrb7,profit
rrba7,profit
kriz,crisis
criz,crisis
stachr,consult
istachar,consult
sti9rar,stability
isti9rar,stability
stiqrar,stability
sti8lak,consumption
stihlak,consumption
istihlak,consumption
isti8lak,consumption
iSla7,reform
sa2i7,tourist
saih,tourist
ra2ih,tourist
sai7,tourist
biznis,business
tijara,commerce
ttijara,commerce
fayit,bankruptcy
fayyit,bankruptcy
dawli,international
daouli,international
3alami,international
aalami,international
D3if,weak
Da3if,weak
fa9ir,poor
prodwi,product
mntouj,product
mentouj,product
mantouj,product
brnamaj,program
barnamaj,program
bernamaj,program
banka,bank
borSa,stock exchange
bourSa,stock exchange
lasorans,insurance
lassourans,insurance
lasourans,insurance
tkhzin,storage
takhzin,storage
tekhzine,storage
tkhTiT,planning
takhTiT,planning
tekhTiT,planning
ta5TiT,planning
lma3icha,cost of living
Dariba,tax
moka,money
mouka,money
srbis,service
serbis,service
serbiss,service
blan,plan
blane,plan
da3m,support
dda3m,support
ch8ria,salary
cha8ria,salary
chahria,salary
chehria,salary
bznas,drug dealer
beznas,drug dealer
mo9awala,enterprise
moqawala,enterprise
faktoura,bill
mizania,budget
Sina3a,industry
Sinaa3a,industry
zira3a,agriculture
ziraa3a,agriculture
SSayd,fishing
SSeyd,fishing
l9iTa3 lkhaS,private sector
l9iTa3 l3amm,public sector
tmwil,funding
tamwil,funding
tmouil,funding
temwil,funding
3amal,work
sti9ala,resignation
isti9ala,resignation
sti9aala,resignation
ta9a3od,retirement
ta9aa3od,retirement
mdkhoul,income
medkhoul,income
mad5oul,income
med5ol,income
mchro3,project
machrou3,project
mchrou3,project
mechrou3,project
tterwa,wealth
ttrwa,wealth
ttarwa,wealth
Talab,application
mblagh,amount
meblegh,amount
mblegh,amount
mablagh,amount
soyoula,liquidity
soyola,liquidity
souyoula,liquidity
iflass,bankruptcy
rob3,quarter
rbe3,quarter
rb3,quarter
sanadat,bonds
ashom,shares
lwert,inheritance
lwart,inheritance
lwrt,inheritance
7anout,shop
ma7al,shop
sel3a,products
sl3a,products
clian,client
klian,client
siya7a,tourism
stawred,import
stewred,import
stawrd,import
stwrd,import
Sader,export
Seder,export
Sadar,export
Sdr,export
tesbi9,deposit
tasbi9,deposit
tsbi9,deposit
3ajz,deficit
3ejz,deficit
tanwi3,diversification
tenwi3,diversification
tadakhom,inflation
fabour,free
kridi,debt
sl3a,goods
sl3a,goods
nkimash,deflation
nkimach,deflation
lfa2ida,interest
lfayda,interest
oustad,teacher
ostad,teacher
tlmid,student
tilmid,student
moudir,director
modir,director
3amid,dean
aamid,dean
sbbora,blackboard
sabbora,blackboard
sbora,blackboard
Tabachir,chalk
fizik,physics
lfizik,physics
tarikh,history
ryaDiat,math
riaDiat,math
ryaDa,sport
riaDa,sport
joghrafia,geography
drs,course
ders,course
dars,course
mti7an,exam
imti7an,exam
mtihan,exam
mti7ane,exam
ktab,book
kitab,book
dftar,notebook
deftar,notebook
daftar,notebook
btida2i,elementary
t3lim,education
ta3lim,education
mdrasa,school
medrasa,school
madrassa,school
medrassa,school
9ism,class
qism,class
lafak,faculty
lafac,faculty
la fac,faculty
lkollia,faculty
i3dadi,middle school
tanawi,high school
tanaoui,high school
jami3a,university
ljami3a,university
diplom,diploma
diplome,diploma
idara,administration
lidara,administration
Tawila,bench
flsafa,philosophy
falsafa,philosophy
felsafa,philosophy
mawad,subjects
3ilm,science
logha,language
lougha,language
adab,literature
3oloum,sciences
3ouloum,sciences
3olom,sciences
ktba,writing
kitaba,writing
ktaba,writing
jabr,algebra
8ndasa,geometry
handasa,geometry
8andasa,geometry
hndasa,geometry
l7sab,computing
7sab,computing
hsab,computing
chimi,chemistry
stilo,pen
stylo,pen
misTara,ruler
chkara,bag
9alam,pencil
qalam,pencil
mim7at,eraser
mimhat,eraser
3oTla,holiday
ta9afa,culture
taqafa,culture
7iSSa,session
7iSa,session
hiSSa,session
Sf7a,page
Saf7a,page
Sef7a,page
wr9a,paper
wer9a,paper
war9a,paper
warqa,paper
b7t,research
ba7t,research
be7t,research
sou2al,question
soual,question
ce2al,question
sa2al,question
jawab,answer
fikra,idea
7sab,count
7ssab,count
Tol,length
Toul,length
3rD,width
3arD,width
3erD,width
rtifa3,hight
irtifa3,hight
3lo,hight
3low,hight
moDo3,topic
mowDo3,topic
mawDou3,topic
mowDou3,topic
da2ira,circle
dwwara,circle
7rf,letter
7arf,letter
7erf,letter
klma,word
kalma,word
kelma,word
jomla,phrase
joumla,phrase
faSila,comma
tjriba,experience
tajriba,experience
tejriba,experience
kotla,mass
7ajm,volume
khaTa2,wrong
5aTa2,wrong
Sa7i7,right
Sahih,right
m9S,scissors
m9aSS,scissors
m9eSS,scissors
m9as,scissors
rawD,kindergarten
raouD,kindergarten
takhSSoS,specialization
ta5SSoS,specialization
takhaSSoS,specialization
ta5aSSoS,specialization
ni9ach,discussion
niqach,discussion
t7lil,analysis
te7lil,analysis
ta7lil,analysis
tahlil,analysis
tmrin,exercise
tamrin,exercise
temrin,exercise
min7a,scholarship
minha,scholarship
ghyab,absence
ghiab,absence
7oDor,presence
7oDour,presence
hoDour,presence
za2id,plus
na9iS,minus
naqis,minus
mDroub,times
m9soum,divided
me9soum,divided
m9som,divided
ma9soum,divided
mo3adala,equation
kasr,fraction
chakl,shape
zawyya,angle
zawia,angle
zawya,angle
Tibb,medicine
7aDana,nursery school
ddirasat l3olya,higher education
ddirasat l3olia,higher education
ma38ad,institute
me38ed,institute
ma3had,institute
m3hed,institute
bac,baccalaureate
lbac,baccalaureate
ma9al,essay
ma9aal,essay
ma9al,article
ma9aal,article
sellan,absence
sllan,absence
9ala9,worry
t9li9a,worry
qalaq,worry
tbrziT,annoyance
tberziT,annoyance
tbarziT,annoyance
ghaDab,anger
nachaT,amusement
nachaaT,amusement
9oboul,acceptance
9obol,acceptance
qoboul,acceptance
chaja3a,courage
chajaa3a,courage
ti9a,confidence
tti9a,confidence
malal,boredom
lamobalat,apathy
fDoul,curiosity
fDol,curiosity
ka2aaba,depression
ka2aba,depression
rghba,desire
raghba,desire
"reghba""""",desire
tay3yef,disgusting
chek,doubt
chakk,doubt
nchwa,ecstasy
nechwa,ecstasy
nachwa,ecstasy
i7raj,embarrassment
2ymane,faith
imane,faith
khouf,fear
5ouf,fear
khaouf,fear
5aouf,fear
i7baaT,frustration
ta3aTof,empathy
chokr,gratitude
Tm3,greed
Tama3,greed
Tam3,greed
Tma3,greed
dnb,guilt
denb,guilt
danb,guilt
7amas,enthusiasm
hamas,enthusiasm
sa3ada,happiness
saaada,happiness
karahia,hatred
kara8ia,hatred
kor8,hatred
korh,hatred
7asad,envy
hasad,envy
ch8wa,lust
cha8wa,lust
che8wa,lust
chahwa,lust
7obb,love
hobb,love
houb,love
7oub,love
wa7da,loneliness
Drafat,kindness
fara7,joy
farah,joy
ghira,jealousy
ghyra,jealousy
ghayra,jealousy
dell,humiliation
ddell,humiliation
ro3b,horror
amal,hope
nnadam,remorse
RRafD,rejection
RafD,rejection
nnadam,regret
ghaDab,rage
fakhr,pride
fa5r,pride
chafa9a,pity
chafaqa,pity
chaghaf,passion
7anin,nostalgia
hanin,nostalgia
7chma,shyness
7echma,shyness
7achma,shyness
hachma,shyness
Sdma,shock
Sadma,shock
Sedma,shock
3ar,shame
3aar,shame
7ozn,sadness
hozn,sadness
7ouzn,sadness
houzn,sadness
mo3anat,suffering
mo3aanaat,suffering
mofaja2a,surprise
khl3a,fear
khel3a,fear
khal3a,fear
5al3a,fear
wswas,obsession
waswass,obsession
waswas,obsession
f9sa,grief
fa9sa,grief
fe9sa,grief
faqsa,grief
Tomou7,ambition
Tomo7,ambition
i7sas,feeling
ihsas,feeling
cho3our,feeling
cho3or,feeling
3aTifa,emotion
3aaTifa,emotion
8awa2,air
8wa,air
8awa,air
b7er,sea
b7r,sea
bhar,sea
b7ar,sea
arD,earth
wad,river
ouad,river
chjra,tree
chajra,tree
chejra,tree
baTo,ship
talwwot,pollution
talwot,pollution
talwwout,pollution
ma2,water
ma,water
lma,water
gLaS,ice
tlj,snow
telj,snow
talj,snow
Tri9,street
Triq,street
Dbab,cloud
Dbaba,cloud
ghaba,forest
jrda,parc
jarda,parc
jerda,parc
choro9,sunrise
chorou9,sunrise
chorouq,sunrise
ghorob,sunset
ghoroub,sunset
chmch,sun
chamch,sun
chemch,sun
9amar,moon
l9amar,moon
qamar,moon
mrrikh,mars
marrikh,mars
mari5,mars
sma,sky
ssma,sky
jbl,mountain
jbel,mountain
jbal,mountain
chta,rain
rr3Da,thunder
r3Da,thunder
ra3Da,thunder
lberd,cold
brd,cold
berd,cold
lbard,cold
ri7,wind
ry7,wind
rih,wind
rri7,wind
S8D,heat
Sa8D,heat
Se8D,heat
SahD,heat
ti9i9t,extreme heat
ti99i9t,extreme heat
chtwa,winter
chetwa,winter
chatwa,winter
SSif,summer
SSef,summer
lkhrif,autumn
khrif,autumn
5rif,autumn
rrbi3,spring
rbi3,spring
ljow,climate
ljaw,climate
ljw,climate
zlal,earthquake
znzal,earthquake
zelzal,earthquake
zalzal,earthquake
borkan,volcano
borkane,volcano
fayaDan,flood
joghrafia,geography
joghrafya,geography
T9s,weather
Ta9s,weather
mDbbeb,foggy
mDabbab,foggy
mDebbab,foggy
mDebbeb,foggy
skhoun,hot
skhon,hot
s5on,hot
s5oun,hot
mchmmch,sunny
mchmmech,sunny
mchemmach,sunny
mchammach,sunny
m3j3j,windy
m3ej3ej,windy
m3aj3aj,windy
khcheb,wood
5kheb,wood
khchab,wood
khchb,wood
7did,iron
hdid,iron
7adid,iron
jaj,glass
jjaj,glass
aliminiom,aluminum
aliminyom,aluminum
n7as,copper
7jr,stone
7jer,stone
hjar,stone
Sofa,wool
SSofa,wool
9Ten,cotton
d8b,gold
d8eb,gold
dhab,gold
dheb,gold
jld,leather
jeld,leather
jild,leather
nnilo,nylon
nilou,nylon
nilo,nylon
rmla,sand
remla,sand
ramla,sand
rremla,sand
fDDa,silver
faDDa,silver
3afia,fire
njma,star
nejma,star
najma,star
mouja,wave
mawja,wave
mowja,wave
mwja,wave
khla,wild
5la,wild
7afa,edge
7aafa,edge
hafa,edge
bo7ayra,lake
bohayra,lake
bo7aira,lake
trab,soil
Tabi3a,nature
S7ra,desert
Sahra,desert
Sa7ra,desert
chllal,waterfall
chellal,waterfall
challal,waterfall
ghar,cave
ghaar,cave
wa7a,oasis
waa7a,oasis
rmad,ash
rmaad,ash
ramaad,ash
ghis,mud
ghiss,mud
roTouba,humidity
roToba,humidity
i3Sar,hurricane
i3Saar,hurricane
kawn,universe
3a2ila,family
bnti,my daughter
benti,my daughter
banti,my daughter
wldi,my son
waldi,my son
weldi,my son
lwalid,father
lwalida,mother
baba,dad
bba,dad
mama,mom
mmi,mom
khouya,my brother
5ouya,my brother
khoya,my brother
khti,my sister
5ti,my sister
3mi,my uncle
aami,my uncle
3mmi,my uncle
3mti,my aunt
aamti,my aunt
3mmti,my aunt
khali,my uncle
5ali,my uncle
khalti,my aunt
5alti,my aunt
kouzan,my cousin
kozan,my cousin
wld 3mi,my cousin
wld aami,my cousin
wld 3mmi,my cousin
wld 3mti,my cousin
wld aamti,my cousin
wld 3mmti,my cousin
wld khali,my cousin
wld 5ali,my cousin
wld khalti,my cousin
wld 5alti,my cousin
bnt 3mi,my cousin
bnt aami,my cousin
bnt 3mmi,my cousin
bnt 3mti,my cousin
bnt aamti,my cousin
bnt 3mmti,my cousin
bnt khali,my cousin
bnt 5ali,my cousin
bnt khalti,my cousin
bnt 5alti,my cousin
zawja,wife
zzawja,wife
lmra,wife
lemra,wife
lamra,wife
zawj,husband
zzawj,husband
rrajl,husband
arrajel,husband
rrajal,husband
mjwwj,married
mzwwj,married
mjawwej,married
mjwwja,married
mzwwja,married
mjawweja,married
3zri,single
3azri,single
3ezri,single
ddrari,children
drari,children
khout,brothers
5out,brothers
khwatat,sisters
5watat,sisters
walidin,parents
khwal,uncles
5wal,uncles
